name,lat,lon
KM 23.9,-33.5699626543493,-70.84836538535
KM 24,-33.5708012388206,-70.84876731425
KM 24.1,-33.5716870113118,-70.84909175484
KM 24.2,-33.5725706855122,-70.84933205387
KM 24.3,-33.5734712188814,-70.84949041787
KM 24.4,-33.5743639689234,-70.84956465548
KM 24.5,-33.5753077365753,-70.84957730513
KM 24.6,-33.5761736005963,-70.84950379264
KM 24.7,-33.5770695699223,-70.84934146483
KM 24.8,-33.5779293916679,-70.8491201192
KM 24.9,-33.5788041545686,-70.84880773042
KM 25,-33.5796370563097,-70.84842496432
KM 25.1,-33.5804736019432,-70.84798304014
KM 25.2,-33.5812627485986,-70.84753217308
KM 25.3,-33.5820897606225,-70.84706751838
KM 25.4,-33.5829042985832,-70.84660768948
KM 25.5,-33.5837362181059,-70.84614471071
KM 25.6,-33.5845612845211,-70.84574266934
KM 25.7,-33.5854215259957,-70.84541192317
KM 25.8,-33.586299508277,-70.84517984647
KM 25.9,-33.5871986462154,-70.84502262898
KM 26,-33.588104457338,-70.84492659241
KM 26.1,-33.5889881415465,-70.84481926267
KM 26.2,-33.589949481162,-70.8446962479
KM 26.3,-33.5908084988415,-70.84458899376
KM 26.4,-33.591665188512,-70.84448582903
KM 26.5,-33.5925397412911,-70.84439208254
KM 26.6,-33.5934730018255,-70.84428553491
KM 26.7,-33.5943812179123,-70.84423196082
KM 26.8,-33.5952687208266,-70.84428675313
KM 26.9,-33.5961733447179,-70.84448000325
KM 27,-33.5970489813666,-70.84482950757
KM 27.1,-33.5978534890751,-70.84525986249
KM 27.2,-33.5986643501972,-70.84571538897
KM 27.3,-33.5994626351299,-70.84617600498
KM 27.4,-33.6002860926278,-70.84663654177
KM 27.5,-33.601084374041,-70.84709717478
KM 27.6,-33.6018826547264,-70.84755781709
KM 27.7,-33.6026976910104,-70.84800833426
KM 27.8,-33.6035001936302,-70.84848157243
KM 27.9,-33.6043132011268,-70.84896233843
KM 28,-33.605092569802,-70.84941300547
KM 28.1,-33.605926,-70.849869
KM 28.2,-33.6067562575171,-70.85034170755
KM 28.3,-33.607573,-70.850797
KM 28.4,-33.608402,-70.851258
KM 28.5,-33.6092215496919,-70.85171376846
KM 28.6,-33.6100585296276,-70.8521841747
KM 28.7,-33.6108427908104,-70.85265165863
KM 28.8,-33.6116366666666,-70.85311666666
KM 28.9,-33.6124666666666,-70.85359833333
KM 29,-33.6133376514994,-70.85408290978
KM 29.1,-33.6141482637041,-70.85454302973
KM 29.2,-33.6149528215551,-70.85501779635
KM 29.3,-33.6157614007641,-70.85547794027
KM 29.4,-33.6165315436562,-70.85598694946
KM 29.5,-33.6173058974048,-70.8565617354
KM 29.6,-33.618084277741,-70.85712433597
